LAMMPS data file via write_data, version 5 Jun 2019, timestep = 120000000

2079 atoms
3 atom types
1978 bonds
3 bond types
1877 angles
3 angle types

0.0000000000000000e+00 5.0000000000000000e+01 xlo xhi
0.0000000000000000e+00 5.0000000000000000e+01 ylo yhi
0.0000000000000000e+00 5.0000000000000000e+01 zlo zhi

Masses

1 0.25
2 0.5
3 0.5

Bond Coeffs # harmonic

1 6000 0.15
2 2000 0.4
3 2000 0.4

Angle Coeffs # harmonic

1 100 180
2 5 180
3 5 180

Atoms # angle

6114 1 1 4.3530229866237917e+01 1.1137102547151605e+01 1.1302894348491039e+00
6113 2 2 4.3516677137672382e+01 1.1468930316453733e+01 1.3577506206804555e+00
19268 3 3 3.5819088909096422e+01 1.8386446521500510e+01 1.2426420313956983e+00
19269 1 1 3.5710742781613035e+01 1.8176368918442073e+01 1.5395494083403976e+00
19267 1 1 3.5811031635935485e+01 1.8384954951314782e+01 8.3799935359101707e-01
21339 1 1 1.3493961166231039e-01 1.8975697819552746e+01 1.0305989687502295e+00
21338 2 2 2.8719850205104092e-01 1.9132062190311402e+01 6.6276108900519681e-01
481 1 1 3.7235537294854225e+01 1.9343683468379567e+01 2.4290414947056696e-01
482 3 3 3.7054007427946367e+01 1.9682924349114881e+01 3.0751256948346728e-01
483 1 1 3.6822817769907310e+01 1.9949993226442029e+01 3.3933139995548162e-01
19571 2 2 4.9502581082961690e+01 1.9434055866661531e+01 3.1830236747930324e-01
21337 1 1 4.9979070167309096e+01 1.9252570569538676e+01 4.6641828193213203e-01
19572 1 1 4.9863310876042618e+01 1.9294864118594955e+01 4.1685758387980776e-01
19570 1 1 4.9284992199816259e+01 1.9753493822155058e+01 1.7476991978925138e-01
13156 1 1 4.9222642655586966e+01 1.9872800058100811e+01 1.1694976775590578e-01
17562 1 1 3.6086209820429652e+01 2.0461422658829264e+01 3.7635073538208957e-01
17560 1 1 3.6709520895177434e+01 2.0076546210018076e+01 3.3173871677862604e-01
17561 3 3 3.6450435590666579e+01 2.0332701822166420e+01 2.8105199503212319e-01
